id,name,category,median_price,sales_per_day,tier
y2mo,Нейродегенерант,misc,14300.0,34.47,T2 10-100k
0r2g1,9А-91,weapon/assault_rifle,397499.5,34.3,T3 100k-1M
0r3qk,«Мемориал»,other,189990.0,34.04,T3 100k-1M
ly1lo,"Магазин 7.62 NATO PMAG, черный",attachment/mag,3999999.0,33.95,T4 1-10M
4k5lr,Кулек,other,16000.0,33.95,T2 10-100k
04yr,Виток,artefact/biochemical,1547221.5,33.85,T4 1-10M
gyln,Иней,artefact/thermal,71000.0,33.38,T2 10-100k
7l9d3,Премиум на 180 дней,other,7999495.0,33.19,T4 1-10M
vjr27,«Служба»,other,120000.0,33.11,T3 100k-1M
z7y2,Протертые овощи,supply/food,58450.0,32.96,T2 10-100k
wj75o,FN SCAR-H,weapon/assault_rifle,3225000.0,32.84,T4 1-10M
m016r,CCA-Zephyr,other,6250000.0,31.68,T4 1-10M
ly97q,«Улыбака»,other,589000.0,31.62,T3 100k-1M
dmzn9,Серия «Цельнометаллический»,other,104061.5,30.69,T3 100k-1M
rwl5v,Сумка 5.56 «Курчатов»,bullet,36666.0,30.46,T2 10-100k
6wrrn,«Посейдон»,other,169000.0,30.03,T3 100k-1M
g4w7g,«Уцелевший»,other,70000.0,29.94,T2 10-100k
999q,Плитоноска,misc,13000.0,29.66,T2 10-100k
m02mk,«Гад»,other,80000.0,29.11,T2 10-100k
rwz2z,Русский штык,weapon/melee,185000.0,28.74,T3 100k-1M
4qnwn,ОЦ-14М «Ураган»,weapon/assault_rifle,524488.0,28.2,T3 100k-1M
y263,Метан,misc,48000.0,25.49,T2 10-100k
1kw1,Кристалл Изнанки,artefact/other_arts,89000.0,25.05,T2 10-100k
m0jw7,Шпроты,supply/food,41000.0,24.7,T2 10-100k
7lrr9,«Грех»,other,130000.0,24.67,T3 100k-1M
7l1z6,Сумка Баррикад,bullet,52499.5,24.25,T2 10-100k
3grn1,«Спасатель»,other,272500.0,23.86,T3 100k-1M
m0vvk,НР-43,weapon/melee,180000.0,23.59,T3 100k-1M
4lpo,Статик,artefact/gravity,253750.0,23.56,T3 100k-1M
j5z74,«Миротворец»,other,244444.0,23.29,T3 100k-1M
okq16,Сумка 9 мм «Сосуля»,bullet,25000.0,23.23,T2 10-100k
y9go,Баррикада,bullet,14899.0,23.12,T2 10-100k
lylnq,HK MP7A2,weapon/submachine_gun,11844444.0,23.12,T5 >10M
z2om,Дымный порох,misc,22990.0,22.84,T2 10-100k
m0g52,Эргономичный магазин 7.62x39,attachment/mag,2900000.0,22.75,T4 1-10M
rnvg,Шишка,artefact/thermal,299999.5,22.63,T3 100k-1M
96ngz,Продвинутый ОЗК,armor/scientist,250000.0,22.53,T3 100k-1M
w732,Селитра,misc,11499.5,22.49,T2 10-100k
n339,Рюкзак «Хелбой-У»,backpacks,330000.0,22.46,T3 100k-1M
1r7v1,IMI Mini Uzi,weapon/submachine_gun,200000.0,22.38,T3 100k-1M
g0y0,Соленья,supply/food,13250.0,22.37,T2 10-100k
5np0,Мутировавшие ферменты,misc,133165.0,22.32,T3 100k-1M
